63;FRASGAS;S.A RUTA 64  KM 3 BO.MATADERO 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-54035382-0;0;0;0;0;0
64;G;Y M  S.A SARMIENTO 3401 - BUENOS AIRES 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-50085848-2;0;0;0;0;0
65;GARCIA;Y NABAES TEODORO PLANAS 4427 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-64109046-4;0;0;0;0;0
67;GRAFICA;NOROESTE S.R.L. SUIPACHA 140 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-67997165-0;0;0;0;0;0
68;H.J.HERRERA;SRL PASO DE LOS ANDES 275 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-55542722-7;0;0;0;0;0
69;GRAN;HOTEL CORONA SUC.MEJAIL N CORDOBA 813 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;23-18633284-9;0;0;0;0;0
70;HOTEL;INDEPENDENCIA BALCARCE 56 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;20-10645467-2;0;0;0;0;0
72;IMPRENTA;GUTEMBERG 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;20-07022461-6;0;0;0;0;0
73;IMPRENTA;LA TERMINAL AV. AVELLANEDA 73 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-62743091-0;0;0;0;0;0
74;INSTITUTO;9 DE JULIO SAN JUAN 671 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-56743841-0;0;0;0;0;0
75;J.G.PADILLA;Y CIA. ALBERDI 1036 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-50124297-3;0;0;0;0;0
76;J.Y;A. CARLINO MARCOS AVELLANEDA 1045 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-54129793-2;0;0;0;0;0
77;JARIE;DIEGO ALBERTO GDOR. BAIGORRIA 1437 -SANTA FE 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;20-12177357-1;0;0;0;0;0
78;JUNCADELLA;S.A. SAN  JUAN 1026 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-54696987-4;0;0;1;0;0
79;KOTLER;SEBASTIAN 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;52-22222222-1;0;0;1;0;0
80;BUCYRUS;INTERNATIONAL CHILE LTDA. SUIPACHA 1111 - PISO 18 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;33-69114641-9;0;0;0;0;0
82;AIR;LIQUIDE ARGENTINA S.A. RUTA PROVINCIAL 301 - KM 2 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-50085213-1;0;0;1;0;0
83;T.A.LA;SEVILLANITA S.R.L LAVALLE Y PJE CASEROS 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-57993900-8;0;0;0;0;0
85;LA;VELOZ DEL NORTE S.A. AV. SIRIA 2500 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-54622131-4;0;0;0;0;0
86;LABORATORIO;JOHN WYETH RECONQUISTA 1011 - C. FEDERAL 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;33-50378076-9;0;0;0;0;0
87;LABORATORIOS;PHOENIX S.A.I.C.F. HUMAHUACA 4.065 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-54464021-2;0;0;0;0;0
88;LABORATORIOS;RAFFO S.A. AV. CABILDO 157/9 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-50209419-6;0;0;1;0;0
89;EMP.EL GALGO (LINEA 1);AV. MITRE 2488 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-54635687-4;0;0;0;0;0
92;TRANSPORTES;ASOCIADOS  S R L SAN JUAN 3680 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-69722723-3;0;0;0;0;0
93;EMPRESA;TUCMA S.R.L J.A.ROCA S/N - CEVIL REDONDO 24 ;TUCUMAN;6;GRANEROS;2;CAMPO BELLO;0;30-54634749-0;0;0;0;0;0
